płeć,imię
K,Abbie
K,Abi
K,Abra
K,Agnes
K,Aira
K,Ajra
K,Ajsza
K,Aksa
K,Akuma
K,Alaska
K,Albinka
K,Alfa
K,Alfa
K,Ama
K,Ami
K,Anesthesia
K,Ange
K,Appa
K,Aria
K,Arra
K,Arwena
K,Arya
K,Ashe
K,Asia
K,Atena
K,Aura
K,Auriculaire
K,Aurora
K,Awa
K,Axa
K,Ayra
K,Aysha
K,Aza
K,Bafia
K,Bagira
K,Bajka
K,Bajra
K,Bakara
K,Bakhitka
K,Balbina
K,Bambi
K,Bandi
K,Basia
K,Basta
K,Bayra
K,Bazia
K,Belatrix
K,Bella
K,Bengie
K,Berta
K,Bessi
K,Bestia
K,Beti
K,Betty
K,Beybe
K,Beza
K,Biała
K,Bianka
K,Bibi
K,Bigi
K,Birma
K,Black
K,Blanca
K,Blanka
K,Bletka
K,Blu
K,Blue
K,Blue
K,moon
K,Bodo
K,Bombelina
K,Bona
K,Bonnie
K,Bordi
K,Borówka
K,Borya
K,Boyka
K,Brenda
K,Brendy
K,Brooklyn
K,Brownie
K,Bródka
K,Bryśka
K,Bujka
K,Buka
K,Bułka
K,Bunia
K,Calathea
K,Całka
K,Candy
K,Carlajna
K,Carmel
K,Carmen
K,Carmena
K,Carola
K,Cassie
K,Cekinka
K,Chanel
K,Chelsea
K,Cherry
K,Chica
K,Chika
K,Chila
K,Chili
K,Chini
K,Chloe
K,Chomcia
K,Ciaudzia
K,Ciga
K,Ciri
K,Clara
K,Clea
K,Cleo
K,Coco
K,Codi
K,Coffee
K,Cola
K,Cookie
K,Cytryna
K,Czacza
K,Czesia
K,Czika
K,Czili
K,Czujka
K,Dafcia
K,Daisy
K,Dakota
K,Dama
K,Dany
K,Daysy
K,Deasy
K,Debbie
K,Debra
K,Dejzi
K,Delta
K,Demolka
K,Diana
K,Dianka
K,Dianusia
K,Diksi
K,Dina
K,Diva
K,Dixi
K,Dolly
K,Dora
K,Doris
K,Dragonka
K,Dredzia
K,Duma
K,Dusia
K,Dzidka
K,Dziunia
K,Dżadża
K,Dżasti
K,Dżejlo
K,Dżeki
K,Dżelka
K,Elka
K,Elwirka
K,Elza
K,Emi
K,Emilia
K,Estrada
K,Fanta
K,Fatira
K,Faza
K,Fela
K,Felcia
K,Falicja
K,Felicjana
K,Felka
K,Fetka
K,Fibi
K,Fifa
K,Fifcia
K,Fifidorea
K,Fifka
K,Figa
K,Fija
K,Fika
K,Fiona
K,Fiśka
K,Fizia
K,Flora
K,Florka
K,Fraszka
K,Fredzia
K,Freja
K,Freya
K,Frida
K,Frotka
K,Futka
K,Fryda
K,Frytka
K,Fryzia
K,Fuksa
K,Furia
K,Fisia
K,Gabi
K,Gabrysia
K,Gaja
K,Gala
K,Gambi
K,Gandzia
K,Grappa
K,Gapcia
K,Germania
K,Ginger
K,Gini
K,Glasi
K,Goja
K,Gracja
K,Greta
K,Gucia
K,Gunia
K,Gunia
K,Gwiazda
K,Haidi
K,Hana
K,Harmony
K,Heaven
K,Heidi
K,Helenka
K,Hera
K,Herbi
K,Hetka
K,Hexa
K,Hikari
K,Hira
K,Hiroya
K,Holi
K,Holy
K,Huana
K,Igła
K,Inez
K,Inka
K,Ida
K,Isia
K,Iskra
K,Ivi
K,Jackie
K,Jagoda
K,Jamajka
K,Jasmine
K,Jessica
K,Jessie
K,Jetta
K,Jira
K,Joko
K,Jola
K,Jolie
K,Joyka
K,Józia
K,Juka
K,Jula
K,Julia
K,Julka
K,Jumka
K,Juni
K,Kajsa
K,Kala
K,Kama
K,Kali
K,Kari
K,Kasia
K,Kawa
K,Kayla
K,Kazia
K,Kejla
K,Kejsi
K,Kenay
K,Keri
K,Kes
K,Keysi
K,Kiara
K,Kiba
K,Kicia
K,Kika
K,Kiker
K,Kimi
K,Kimiko
K,Kinia
K,Kira
K,Kiri
K,Kisztunia
K,Kita
K,Kiwi
K,Kizia
K,Klara
K,Kleosia
K,Kluska
K,Kobi
K,Kobra
K,Kocio
K,Kodi
K,Koffi
K,Kofi
K,Koka
K,Kora
K,Korba
K,Kornelia
K,Kosmo
K,Kostka
K,Kovu
K,Kropa
K,Kropka
K,Kropla
K,Krówka
K,Kruszyna
K,Krysia
K,Ksara
K,Księżniczka
K,Kuga
K,Kuka
K,Kulka
K,Queen
K,Laila
K,Lajla
K,Lajma
K,Lala
K,Lamia
K,Lara
K,Latte
K,Layla
K,Lea
K,Leia
K,Lejdi
K,Lejzi
K,Leksi
K,Lena
K,Lenka
K,Letty
K,Lexi
K,Leyla
K,Lia
K,Liberate
K,Ligia
K,Lila
K,Lili
K,Lilly
K,Lilu
K,Lisa
K,Liska
K,Lizi
K,Loca
K,Lola
K,Lolivette
K,Lolly
K,Lonelity
K,Lora
K,Lotka
K,Lotta
K,Lucia
K,Lucy
K,Luisa
K,Luka
K,Lula
K,Lulu
K,Luna
K,Liya
K,Lunia
K,Lunita
K,Lusi
K,Lusia
K,Madlen
K,Mafia
K,Maggy
K,Maja
K,Majla
K,Malina
K,Maloszka
K,Malwka
K,Mamba
K,Mani
K,Mania
K,Marcelina
K,Marcysia
K,Marilyn
K,Marti
K,Marusia
K,Maruszka
K,Mary
K,Marysia
K,Masha
K,Masza
K,Maya
K,Meggi
K,Megi
K,Mejsi
K,Mela
K,Merida
K,Merry
K,Metka
K,Mia
K,Miałkusia
K,Michelle
K,Migotka
K,Mii
K,Mija
K,Mijka
K,Mika
K,Mikunia
K,Mila
K,Milka
K,Miła
K,Miłka
K,Mimi
K,Mini
K,Minia
K,Minka
K,Misa
K,Misha
K,Misia
K,Misia
K,Misza
K,Miśka
K,Mitka
K,Mokka
K,Molencja
K,Moli
K,Mollie
K,Molly
K,Mona
K,Montana
K,Morena
K,Moria
K,Mrówka
K,Mrunia
K,Mrużka
K,Mua
K,Mućka
K,Mufinka
K,Mufka
K,Muni
K,Mura
K,Mucha
K,Mycha
K,Mysza
K,Nala
K,Nami
K,Nana
K,Nasta
K,Nastja
K,Neira
K,Nela
K,Neli
K,Nelly
K,Nesca
K,Nesi
K,Neya
K,Nika
K,Niki
K,Nikita
K,Nila
K,Nina
K,Nirvana
K,Nitka
K,Niunia
K,Noa
K,Nora
K,Noreczka
K,Noxa
K,Nuka
K,Nusia
K,Nuśka
K,Nutka
K,Nuta
K,Ofra
K,Olivia
K,Ora
K,Oreo
K,Paksa
K,Panda
K,Pasja
K,Pasza
K,Pchełka
K,Peggy
K,Pele
K,Peppa
K,Pepper
K,Pepsi
K,Perełka
K,Perla
K,Perła
K,Pestka
K,Pięknota
K,Pipi
K,Plamcia
K,Plamka
K,Plysinka
K,Płoszka
K,Poja
K,Pojka
K,Pola
K,Poli
K,Polka
K,Polly
K,Poppi
K,Poziomka
K,Pretty
K,Prima
K,Princess
K,Prosiałka
K,Psotka
K,Ptysia
K,Puha
K,Punia
K,Pusia
K,Pchełka
K,Pysia
K,Pyśka
K,Pyza
K,Radża
K,Rafa
K,Rafka
K,Ravi
K,Raya
K,Reja
K,Remy
K,Reszka
K,Ricco
K,Rita
K,Riva
K,Roki
K,Roksa
K,Roksi
K,Rosa
K,Rosita
K,Roxi
K,Rozi
K,Róża
K,Ruda
K,Rudi
K,Radzia
K,Rudzisława
K,Rufinka
K,Rufi
K,Rufuska
K,Rusia
K,Rysia
K,Saga
K,Sali
K,Sallem
K,Sally
K,Salma
K,Salusia
K,Samba
K,Sami
K,Sandra
K,Sandy
K,Santa
K,Santi
K,Sara
K,Sasuke
K,Saszka
K,Scarlet
K,Sejka
K,Selena
K,Senshi
K,Shadow
K,Shakira
K,Shanti
K,Sheela
K,Shila
K,Shiro
K,Shuma
K,Siena
K,Simba
K,Siri
K,Sissi
K,Skoda
K,Solo
K,Sonia
K,Stefania
K,Stefcia
K,Stefek
K,Stella
K,Stiwi
K,Strzała
K,Sunia
K,Sushi
K,Suzi
K,Suzie
K,Szaga
K,Szanti
K,Szara
K,Szasta
K,Szerin
K,Szerpa
K,Szikszura
K,Szila
K,Szira
K,Szylcia
K,Szyszka
K,Tajga
K,Taka
K,Hiro
K,Tako
K,Tamara
K,Tami
K,Tara
K,Tasia
K,Tejena
K,Tekila
K,Tequila
K,Tesla
K,Tessi
K,Tessie
K,Tibi
K,Tifi
K,Tigera
K,Tikka
K,Tila
K,Tina
K,Tini
K,Titi
K,Tola
K,Tosia
K,Trufla
K,Trusia
K,Tula
K,Tusia
K,Tysia
K,Wega
K,Wena
K,Wenus
K,Weronika
K,Widi
K,Wiera
K,Wika
K,Wiwa
K,Wiwi
M,Aczi
M,Adi
M,Agat
M,Agron
M,Aiko
M,Ajax
M,Akeno
M,Aki
M,Alex
M,Alfa
M,Alf
M,Alpi
M,Alvin
M,Amber
M,Ami
M,Amigo
M,Amis
M,Amol
M,Amor
M,Amper
M,Ananas
M,Anfi
M,Ange
M,Apach
M,Apik
M,Apsik
M,Arczci
M,Ardo
M,Ares
M,Arez
M,Argo
M,Argus
M,Ari
M,Armani
M,Armin
M,Arnold
M,Aron
M,Arrakis
M,Arson
M,Artus
M,Ashe
M,Aslan
M,Aston
M,Atom
M,Atos
M,Awof
M,Axel
M,Azard
M,Azazel
M,Azor
M,Badi
M,Bailly
M,Bajdek
M,Bajer
M,Bajtek
M,Bajzel
M,Baks
M,Baksio
M,Bakuś
M,Baloo
M,Balto
M,Bandi
M,Bari
M,Baron
M,Barry
M,Bart
M,Bary
M,Basco
M,Baster
M,Batman
M,Baxter
M,Bazyl
M,Bazyli
M,Bąbel
M,Bączuś
M,Beilis
M,Bejbi
M,Bekas
M,Beksio
M,Bello
M,Benek
M,Benio
M,Beniu
M,Benji
M,Bentlay
M,Benuś
M,Bercik
M,Berni
M,Beryl
M,Bessi
M,Białasek
M,Bibi
M,Bibo
M,Bieluch
M,Bigi
M,Bil
M,Billy
M,Bilon
M,Bingo
M,Biszkopt
M,Black
M,Blu
M,Blue
M,Blue
M,moon
M,Blues
M,Blumiś
M,Bobek
M,Bobi
M,Bobik
M,Bobo
M,Boczek
M,Bodo
M,Boguś
M,Boksiu
M,Bolek
M,Bolo
M,Bols
M,Bolt
M,Boluś
M,Bombel
M,Bombur
M,Bongo
M,Bono
M,Bordi
M,Borgio
M,Borut
M,Borysek
M,Boss
M,Boston
M,Bounty
M,Bradlej
M,Brasko
M,Brego
M,Brendy
M,Brooklyn
M,Brownie
M,Brunek
M,Bruni
M,Bruno
M,Brutus
M,Bryś
M,Bubu
M,Bubuś
M,Bucky
M,Buddy
M,Budyń
M,Bueno
M,Buniek
M,Bunio
M,Burbon
M,Burger
M,Cappi
M,Cappuccino
M,Carlos
M,Cekin
M,Cezar
M,Chacho
M,Chaps
M,Charlie
M,Charm
M,Cherry
M,Chester
M,Chico
M,Chiko
M,Chili
M,Choco
M,Chojraś
M,Chorizo
M,Chrupek
M,Chuck
M,Ciapek
M,Ciapo
M,Ciastek
M,Ciciuś
M,Cleo
M,Clifford
M,Codi
M,Coffee
M,Colli
M,Collinek
M,Colly
M,Combo
M,Corin
M,Cosinus
M,Crusoe
M,Cukier
M,Cumin
M,Cygan
M,Cykor
M,Cynamon
M,Cypis
M,Cyryl
M,Czaki
M,Czako
M,Czapkins
M,Czarek
M,Czesio
M,Czester
M,Cziro
M,Czort
M,CzuCzu
M,Daffi
M,Dafinek
M,Dakar
M,Dante
M,Dantes
M,Dany
M,Darwin
M,Daster
M,Dasti
M,Deany
M,Dekster
M,Demon
M,Deneris
M,Denis
M,Dero
M,Dexter
M,Diabeł
M,Diablo
M,Diadem
M,Diament
M,Diego
M,Diesiel
M,Dingo
M,Dino
M,Dios
M,Dixon
M,DJ
M,Django
M,Docent
M,Dodo
M,Dolar
M,Dorian
M,Dosiek
M,Draco
M,Drago
M,Dragon
M,Drako
M,Drops
M,Drzeki
M,Dudinek
M,Dudu
M,Dukat
M,Dunio
M,Dyzio
M,Dzerald
M,Dzidzi
M,Dżeki
M,Dżemik
M,Dżidżun
M,DżoDżo
M,Dżoker
M,Edek
M,Edgar
M,Ego
M,Eguś
M,Eki
M,Elias
M,Eliot
M,Elmo
M,Eluniek
M,Elvis
M,Emil
M,Enzo
M,Erbi
M,Escobar
M,Ewer
M,Fafik
M,Fago
M,Fajfer
M,Falconera
M,Falkor
M,Farciarz
M,Farcik
M,Fart
M,Felek
M,Feli
M,Felix
M,Feluś
M,Femi
M,Fendi
M,Fenuś
M,Ferdek
M,Fero
M,Fido
M,Fifa
M,Fifi
M,Figaro
M,Figiel
M,Figo
M,Fiko
M,Filemon
M,Filip
M,Filo
M,Filuś
M,Finiek
M,Fiodor
M,Fituś
M,Flapi
M,Flo
M,Floki
M,Florian
M,Fluffi
M,Fofulek
M,Fokus
M,Fox
M,Franio
M,Fred
M,Freddie
M,Frędzel
M,Frodo
M,Frugo
M,Fuks
M,Fuksik
M,Gabor
M,Gacek
M,Gambi
M,Gamoń
M,Gandalf
M,Gangster
M,Gapcio
M,Garfie
M,Garfield
M,Garik
M,Garry
M,Gaston
M,Gorge
M,Garfild
M,Gibon
M,Gibson
M,Gines
M,Gizmo
M,Gokan
M,Goldi
M,Gold
M,Goliat
M,Goofy
M,Gordon
M,Graffi
M,Granat
M,Grand
M,Grey
M,Gringo
M,Groszek
M,Gruchot
M,Gryzek
M,Gucci
M,Gucio
M,Gumiś
M,Gustaw
M,Grypsy
M,Hachiko
M,Haczi
M,Hades
M,Hermann
M,Hardi
M,Harley
M,Harold
M,Harrison
M,Harry
M,Haru
M,Hasan
M,Heaven
M,Heksan
M,Hektor
M,Herman
M,Heros
M,Hetman
M,Hikari
M,Hood
M,Horus
M,Houki
M,House
M,Hugo
M,Hulk
M,Hunter
M,Hyziek
M,Idefix
M,Ido
M,Idol
M,Ignaś
M,Igor
M,Iron
M,Ivan
M,Ivar
M,Izmir
M,Izzy
M,Jacki
M,Jackie
M,Jager
M,Jampy
M,Janek
M,Jankes
M,Jarhead
M,Jasiek
M,Jasper
M,Jazz
M,Jeff
M,Jerry
M,Jesse
M,Jim
M,Jimi
M,Jimmy
M,JJ
M,Jogi
M,Johnny
M,Joker
M,Joko
M,Jordan
M,Jorguś
M,Joris
M,Józio
M,Julian
M,Juni
M,Junior
M,Kader
M,Kohlo
M,Kaiser
M,Kajetan
M,Kali
M,Kajtek
M,Kapsel
M,Karat
M,Karlus
M,Karmel
M,Karmen
M,Kasel
M,Kasztan
M,Kayko
M,Kazan
M,Kazik
M,Kazio
M,Keks
M,Kenzo
M,Kesio
M,Kevin
M,Kicek
M,Kierat
M,Kiki
M,Killer
M,Kimbo
M,Kimiko
M,Kiwi
M,Klakier
M,Kleks
M,Klemek
M,Klemens
M,Klusek
M,Kminek
M,Knapik
M,Kobi
M,Kodi
M,Kodo
M,Koffi
M,Koko
M,Kokos
M,Kokosz
M,Koks
M,Kolec
M,Kolin
M,Kolubek
M,Kosmita
M,Kosmo
M,Kosmos
M,Kostek
M,Kovu
M,Kraken
M,Kropek
M,Ksenon
M,Książe
M,Kuba
M,Kudłaty
M,Kuki
M,Kumiko
M,Kusko
M,Kusy
M,Laki
M,Lambo
M,Largo
M,Lazar
M,Leliks
M,Lemon
M,Lenny
M,Lenox
M,Leo
M,Leon
M,Leoncjo
M,Leonek
M,Leonidas
M,Lerek
M,Lesio
M,Lestat
M,Lester
M,Leti
M,Levis
M,Lilo
M,Lincoln
M,Lio
M,Lisek
M,Loco
M,Logan
M,Loki
M,Lolek
M,Loras
M,Lord
M,Louis
M,Lucek
M,Lucjan
M,Lucjusz
M,Lucky
M,Lucyfer
M,Luis
M,Lujek
M,Lulu
M,Lupi
M,Lupus
M,Lussi
M,Mafii
M,Mafin
M,Magnum
M,Majek
M,Majkel
M,Majki
M,Majli
M,Majlo
M,Major
M,Majster
M,Majszi
M,Makao
M,Maks
M,Malkolm
M,Malmo
M,Mały
M,Mambo
M,Manami
M,Manfred
M,Maniek
M,Manio
M,Maniuś
M,Marcel
M,Marceliusz
M,Marcepan
M,Marco
M,Marcus
M,Marianek
M,Markiz
M,Marley
M,Marshall
M,Masaj
M,Maurycy
M,Max
M,May
M,Maybe
M,Mayki
M,Melman
M,Mentos
M,Mer
M,Mercedes
M,Merci
M,Mers
M,Mes
M,Messi
M,Miatoretto
M,Michałek
M,Mici
M,Mikey
M,Miki
M,Mikie
M,Mikuś
M,Milik
M,Milky
M,Way
M,Milo
M,Milou
M,Milton
M,Miluś
M,Misio
M,Misiu
M,Mobi
M,Mohito
M,Mojo
M,Monimir
M,Monti
M,Morcik
M,Morgan
M,Moris
M,Mort
M,Mozart
M,Muchomor
M,Mufi
M,Muki
M,Mumin
M,Munduś
M,Muni
M,Nasus
M,Negro
M,Nelos
M,Nelson
M,Neo
M,Nero
M,Nes
M,Nesquik
M,Nico
M,Nicko
M,Nigenek
M,Nix
M,Niko
M,Nikodem
M,Nikon
M,Niuniek
M,Noran
M,Norek
M,Nosek
M,Nunu
M,Obi
M,Odi
M,Odys
M,Odyn
M,Ogi
M,Oki
M,Olaf
M,Oli
M,Olivier
M,Opal
M,Opel
M,Oreo
M,Orest
M,Ori
M,Orio
M,Oro
M,Orzech
M,Oskar
M,Ozi
M,Ozzy
M,Paco
M,Pako
M,Paku
M,Parys
M,Pączuś
M,Pedro
M,Pedros
M,Pele
M,Pepe
M,Pepper
M,Pepsi
M,Persil
M,Perszing
M,Piegusek
M,Piko
M,Piksel
M,Pikuś
M,Pimpek
M,Pimpu
M,Pimpuś
M,Piorun
M,Piracik
M,Pirat
M,Pixel
M,Platon
M,Poldek
M,Poli
M,Pompon
M,Poro
M,Porter
M,Portos
M,Prążek
M,Prezes
M,Protos
M,Prymus
M,Przylepa
M,Przytulas
M,Psikus
M,Ptyś
M,Pufi
M,Pumba
M,Purpurek
M,Pusio
M,Puszek
M,Pypeć
M,Pysiek
M,Rafi
M,Rafik
M,Ragnar
M,Rajmund
M,Ralf
M,Rambo
M,Ramos
M,Rampal
M,Ramzes
M,Ramzi
M,Rangar
M,Rasti
M,Rasty
M,Ravi
M,Rayli
M,Regis
M,Reks
M,Reksio
M,Reksiu
M,Resco
M,Rex
M,Rey
M,Ricardo
M,Ricci
M,Ricky
M,Rico
M,Riko
M,Riley
M,Rino
M,Roben
M,Robinek
M,Robinson
M,Rocco
M,Rocky
M,Rodo
M,Rojter
M,Roki
M,Rokuś
M,Roni
M,Roofi
M,Roulett
M,Roy
M,Ruben
M,Ruby
M,Rudi
M,Rudolf
M,Rudy
M,Rufi
M,Rumpel
M,Russell
M,Rysiu
M,Sajgon
M,Sajmon
M,Saki
M,Sali
M,Sallem
M,Sami
M,Samir
M,Santi
M,Scooby
M,Scott
M,Scotti
M,Seba
M,Senshi
M,Sezam
M,Shadow
M,Shanti
M,Sherlon
M,Sherman
M,Shiro
M,Shogun
M,Shrek
M,Siasiuk
M,Sigo
M,Sigur
M,Silver
M,Simon
M,Siwy
M,Skalpel
M,Skoti
M,Słodziak
M,Snajper
M,Snickers
M,Snoopy
M,Snufi
M,Sofik
M,Solo
M,Spaik
M,Spajki
M,Spajkuś
M,Spidy
M,Spontan
M,Stanly
M,Stark
M,Stefan
M,Steward
M,Stiff
M,Stiuard
M,Stiwi
M,Strzała
M,Stuard
M,Stuart
M,Sueno
M,Sushi
M,Sven
M,Sylwek
M,Symuś
M,Syriusz
M,Szanti
M,Szarek
M,Szarik
M,Szaruś
M,Szczepan
M,Szczurko
M,Szejk
M,Szerin
M,Szeryf
M,Szubert
M,Tabasco
M,Tadek
M,Tafi
M,Tago
M,Tai
M,Taj
M,Tajfun
M,Tako
M,Talon
M,Tamagotchi
M,Tami
M,Tango
M,Tantos
M,Tapsik
M,Tarek
M,Tashi
M,Tasman
M,Tatar
M,Teddy
M,Tedi
M,Tedik
M,Teo
M,Teodor
M,Teofil
M,Teoś
M,Tesla
M,Theo
M,Thor
M,Tibi
M,Tifi
M,Tiger
M,Timi
M,Timo
M,Timon
M,Titi
M,Tobi
M,Toby
M,Toffik
M,Tofik
M,Togo
M,Tokki
M,Tolek
M,Tołdi
M,Tom
M,Tomi
M,Toni
M,Tosiak
M,Tosiek
M,Toto
M,Toudi
M,Trezor
M,Trikaczu
M,Triss
M,Troluś
M,Tropek
M,Trufel
M,Tuptuś
M,Tutuś
M,Tygrys
M,Tymek
M,Typek
M,Tyson
M,Wafel
M,Waldek
M,Wedel
M,Weekend
M,Węgielek
M,Wiesław
M,Wiewiór
M,Wifi
M,Wiko
M,William
M,Willy
M,Witek
M,Woolfi
M,Zdzisława
M,Zetka
M,Zoja
M,Zola
M,Zołi
M,Zołza
M,Zora
M,Zorka
M,Zoya
M,Zula